Schaefer_Index,Network_Index,Network_Name
1,1,Vis
2,1,Vis
3,1,Vis
4,1,Vis
5,1,Vis
6,1,Vis
7,1,Vis
8,1,Vis
9,1,Vis
10,1,Vis
11,1,Vis
12,1,Vis
13,1,Vis
14,1,Vis
15,1,Vis
16,1,Vis
17,1,Vis
18,1,Vis
19,1,Vis
20,1,Vis
21,1,Vis
22,1,Vis
23,1,Vis
24,1,Vis
25,1,Vis
26,1,Vis
27,1,Vis
28,1,Vis
29,1,Vis
30,1,Vis
31,1,Vis
32,2,SomMot
33,2,SomMot
34,2,SomMot
35,2,SomMot
36,2,SomMot
37,2,SomMot
38,2,SomMot
39,2,SomMot
40,2,SomMot
41,2,SomMot
42,2,SomMot
43,2,SomMot
44,2,SomMot
45,2,SomMot
46,2,SomMot
47,2,SomMot
48,2,SomMot
49,2,SomMot
50,2,SomMot
51,2,SomMot
52,2,SomMot
53,2,SomMot
54,2,SomMot
55,2,SomMot
56,2,SomMot
57,2,SomMot
58,2,SomMot
59,2,SomMot
60,2,SomMot
61,2,SomMot
62,2,SomMot
63,2,SomMot
64,2,SomMot
65,2,SomMot
66,2,SomMot
67,2,SomMot
68,2,SomMot
69,3,DorsAttn
70,3,DorsAttn
71,3,DorsAttn
72,3,DorsAttn
73,3,DorsAttn
74,3,DorsAttn
75,3,DorsAttn
76,3,DorsAttn
77,3,DorsAttn
78,3,DorsAttn
79,3,DorsAttn
80,3,DorsAttn
81,3,DorsAttn
82,3,DorsAttn
83,3,DorsAttn
84,3,DorsAttn
85,3,DorsAttn
86,3,DorsAttn
87,3,DorsAttn
88,3,DorsAttn
89,3,DorsAttn
90,3,DorsAttn
91,3,DorsAttn
92,4,SalVentAttn
93,4,SalVentAttn
94,4,SalVentAttn
95,4,SalVentAttn
96,4,SalVentAttn
97,4,SalVentAttn
98,4,SalVentAttn
99,4,SalVentAttn
100,4,SalVentAttn
101,4,SalVentAttn
102,4,SalVentAttn
103,4,SalVentAttn
104,4,SalVentAttn
105,4,SalVentAttn
106,4,SalVentAttn
107,4,SalVentAttn
108,4,SalVentAttn
